1.048917229272982468e+02,-3.039050156892636245e+00
1.048896597010848524e+02,-3.039106408159580219e+00
1.048905390154378807e+02,-3.039115011553933599e+00
1.048895957418597789e+02,-3.039150970917239736e+00
1.048917940484536757e+02,-3.039181663409441736e+00
1.048923063030080698e+02,-3.039211305345139280e+00
1.048909085421264109e+02,-3.039239898678189888e+00
1.048893761963563094e+02,-3.039270947849496807e+00
1.048917985015099532e+02,-3.039335786008614981e+00
1.048898425789045064e+02,-3.039376887800798510e+00
1.048891646058351199e+02,-3.039393177605970831e+00
1.048918020909779614e+02,-3.039415052990280142e+00
1.048893065638320934e+02,-3.039465652143800156e+00
1.048907234796326549e+02,-3.039465691568451255e+00
1.048921738617779624e+02,-3.039463664579963531e+00
1.048890261621832281e+02,-3.039471315546767194e+00
1.048889544491932924e+02,-3.039510175605559361e+00
1.048916675491558124e+02,-3.039508702180437449e+00
1.048903903092099910e+02,-3.039524226404568541e+00
1.048892352242050947e+02,-3.039593915199371388e+00
1.048893799337024859e+02,-3.039593399889237713e+00
1.048893090073030692e+02,-3.039633723948383714e+00
1.048928004199867701e+02,-3.039654694043377958e+00
1.048903415321985193e+02,-3.039665001787608123e+00
1.048909672483585069e+02,-3.039683790722330414e+00
1.048895909445237749e+02,-3.039715033640145503e+00
1.048910981572866774e+02,-3.039748293264309620e+00
1.048888199955679426e+02,-3.039761178371354067e+00
1.048893762177017663e+02,-3.039754874992582234e+00
1.048890969731650102e+02,-3.039755168815067687e+00
1.048910315956734962e+02,-3.039795520322622124e+00
1.048885345566940543e+02,-3.039820119639326634e+00
1.048888275920146640e+02,-3.039837376673324432e+00
1.048917368312582710e+02,-3.039865250341403424e+00
1.048889589366501127e+02,-3.039917410132919606e+00
1.048891004318622180e+02,-3.039913332913100508e+00
1.048907240308749778e+02,-3.039944290022102980e+00
1.048884622847028112e+02,-3.039935428561604702e+00
1.048897842943308802e+02,-3.039982294612113112e+00
1.048917998732828778e+02,-3.039989666692559656e+00
1.048895147440161537e+02,-3.039996992321629232e+00
1.048886029627128664e+02,-3.040012263356768329e+00
1.048900414936899352e+02,-3.040055191039655824e+00
1.048910357019306048e+02,-3.040050450191248643e+00
1.048881115653046123e+02,-3.040064142372835843e+00
1.048897834139376499e+02,-3.040067933619485352e+00
1.048890945288202801e+02,-3.040078620601261772e+00
1.048905353747446298e+02,-3.040089480352074158e+00
1.048884639537819368e+02,-3.040097167907976683e+00
1.048886074769745278e+02,-3.040097220327064864e+00
1.048881819408296110e+02,-3.040098676645054177e+00
1.048880422208498828e+02,-3.040107978964000424e+00
1.048911628575757362e+02,-3.040118992269459142e+00
1.048860553110653626e+02,-3.040116287680750151e+00
1.048891698866366511e+02,-3.040130343006913094e+00
