X,Y
1.048890957601885248e+02,-3.040076856754557078e+00
1.048905337086756617e+02,-3.040087908760984892e+00
1.048881840520572837e+02,-3.040099480363184448e+00
1.048886089030999216e+02,-3.040097858594793312e+00
1.048899729222044499e+02,-3.040099048292799200e+00
1.048880416189385727e+02,-3.040106050980253549e+00
1.048898450953655868e+02,-3.040111189592666907e+00
1.048871233410402937e+02,-3.040124392071918979e+00
1.048865982093405904e+02,-3.040132574298938906e+00
1.048887653454007705e+02,-3.040203925368933024e+00
1.048890226359843609e+02,-3.040194836446418414e+00
1.048893819346774734e+02,-3.040233396928967213e+00
1.048906030197563410e+02,-3.040282616168694219e+00
1.048888865580744749e+02,-3.040275937990124078e+00
1.048881127403760729e+02,-3.040310362960939372e+00
1.048876916622857181e+02,-3.040303369360010777e+00
1.048893822001126779e+02,-3.040317710028922260e+00
1.048902203306191296e+02,-3.040308864831193336e+00
1.048887637239115378e+02,-3.040319863540717371e+00
1.048907243702496004e+02,-3.040351695799062171e+00
1.048904698438279013e+02,-3.040374433793766595e+00
1.048903604054847420e+02,-3.040384739952303850e+00
1.048886838667619088e+02,-3.040399027385439545e+00
1.048870464437383987e+02,-3.040418219311586068e+00
1.048875502304401692e+02,-3.040474693537055018e+00
1.048866050634727429e+02,-3.040496194237671812e+00
1.048889575267663332e+02,-3.040480980699059810e+00
1.048893758821137681e+02,-3.040482858678216438e+00
1.048899683797878453e+02,-3.040489913687301815e+00
1.048879043328037426e+02,-3.040518511283520020e+00
1.048890281892456784e+02,-3.040521256919880511e+00
1.048866714550887167e+02,-3.040600075748093989e+00
1.048880423137071318e+02,-3.040591544461391127e+00
1.048906653699590095e+02,-3.040627389993614926e+00
1.048893828178117928e+02,-3.040640517545816213e+00
1.048881162664533235e+02,-3.040638904393794917e+00
1.048866283775371926e+02,-3.040666743071983369e+00
1.048907237161860309e+02,-3.040679681400163759e+00
1.048875486861177677e+02,-3.040720492808251851e+00
1.048883958562223739e+02,-3.040715746403631847e+00
1.048892322039010594e+02,-3.040724834956675782e+00
1.048890197626625138e+02,-3.040762616275869412e+00
1.048866476033278872e+02,-3.040781231703668652e+00
1.048900916632578912e+02,-3.040813088109094675e+00
1.048911207389808879e+02,-3.040830035021989897e+00
1.048866046045539520e+02,-3.040878719034774136e+00
1.048881055222672103e+02,-3.040879436940284286e+00
1.048876182302313964e+02,-3.040926206856083169e+00
1.048905901621718613e+02,-3.040929812746389960e+00
1.048890929421518763e+02,-3.040968523728059036e+00
1.048878285663042220e+02,-3.040963296223948120e+00
1.048874820316764982e+02,-3.041002114657690658e+00
1.048879655965660334e+02,-3.041043950943979279e+00
1.048878190481772776e+02,-3.041047814072864952e+00
1.048901355351668627e+02,-3.041072955095315056e+00
1.048905395007088543e+02,-3.041065350594498007e+00
1.048866141949289528e+02,-3.041087905612079201e+00
1.048884682352044706e+02,-3.041083068219949226e+00
1.048873382747585623e+02,-3.041092101220491006e+00
1.048907360491743219e+02,-3.041081630535868108e+00
1.048881786905738949e+02,-3.041092591546844748e+00
1.048911166249711187e+02,-3.041151878471355374e+00
1.048866057306897943e+02,-3.041166105223331861e+00
1.048907268022539085e+02,-3.041158501807138315e+00
1.048906645121839887e+02,-3.041206053493507699e+00
1.048881824830717022e+02,-3.041251075604685106e+00
1.048888787713726884e+02,-3.041246458317514723e+00
1.048906789331324347e+02,-3.041286796662132197e+00
1.048898568885585831e+02,-3.041307777206976759e+00
1.048885346399676735e+02,-3.041295072845513925e+00
1.048893035838011230e+02,-3.041327543099821451e+00
1.048866096480703050e+02,-3.041333626105393595e+00
1.048900400761909992e+02,-3.041331467652081955e+00
1.048910989254383423e+02,-3.041380294501270232e+00
1.048869166816021732e+02,-3.041422337837439649e+00
1.048866254995258487e+02,-3.041422574617250962e+00
1.048866196881931074e+02,-3.041505074982438828e+00
1.048895860321469371e+02,-3.041489936231728475e+00
1.048880440247367716e+02,-3.041498273241276085e+00
1.048896514784771625e+02,-3.041530576801442898e+00
1.048875501230237433e+02,-3.041544825620236203e+00
1.048878266035345632e+02,-3.041620677436877251e+00
1.048906036265244666e+02,-3.041664855293816583e+00
1.048879031150146659e+02,-3.041667893208717999e+00
1.048872457559383520e+02,-3.041787301318132464e+00
1.048879033740647628e+02,-3.041831539325414280e+00
1.048880412592337876e+02,-3.041841525055048123e+00
1.048901362219151423e+02,-3.041822885573876256e+00
1.048890224293027984e+02,-3.041829075046873943e+00
1.048873278803400382e+02,-3.041848125193719721e+00
1.048904134995135990e+02,-3.041882891411201495e+00
1.048907003587758311e+02,-3.041882835939193619e+00
1.048908354820911200e+02,-3.041882117029945931e+00
1.048871387252865475e+02,-3.041915213991326361e+00
1.048866184583054064e+02,-3.041911871596191030e+00
1.048910419931338396e+02,-3.041922274278800131e+00
1.048883928751332206e+02,-3.041940525322670563e+00
1.048886767247043537e+02,-3.041934717077242833e+00
1.048872579816662380e+02,-3.041943615802983558e+00
1.048907158340251158e+02,-3.041954899456683847e+00
1.048909764617209817e+02,-3.041968208005860319e+00
1.048866121736341199e+02,-3.041990860463038349e+00
1.048910547324418445e+02,-3.041991380882176355e+00
1.048893751595680470e+02,-3.042014777760210897e+00
1.048876898243550357e+02,-3.042029709257442427e+00
1.048871238066607816e+02,-3.042031502893188577e+00
1.048909867310877786e+02,-3.042045961004750332e+00
1.048872658942111968e+02,-3.042027309763716048e+00
1.048904209508386458e+02,-3.042039783885084780e+00
1.048905613792014719e+02,-3.042053302173868268e+00
1.048895143826235454e+02,-3.042095500297017807e+00
1.048909768184232689e+02,-3.042118147600001432e+00
1.048903480101438390e+02,-3.042171801645702889e+00
1.048891633174439875e+02,-3.042224175618724935e+00
1.048897962782280047e+02,-3.042251383926358077e+00
1.048895177410356752e+02,-3.042262799784217542e+00
1.048903496544690768e+02,-3.042253511136935984e+00
1.048883927345572857e+02,-3.042267575893280895e+00
1.048870555798109763e+02,-3.042309739196027429e+00
1.048881804047711768e+02,-3.042310685680132298e+00
1.048871927947293301e+02,-3.042319824386189531e+00
1.048867691477201731e+02,-3.042318599481454999e+00
1.048893691436367135e+02,-3.042343442865947267e+00
1.048889456944440184e+02,-3.042342854971425758e+00
1.048910552434420538e+02,-3.042334765759612925e+00
1.048901416320901063e+02,-3.042375847956456436e+00
1.048898652274616268e+02,-3.042376646992467570e+00
1.048866107326825272e+02,-3.042394985010397068e+00
1.048884623179513937e+02,-3.042389011928281484e+00
1.048893126795944397e+02,-3.042385357600470019e+00
1.048892303379035837e+02,-3.042422985226855836e+00
1.048876130978468524e+02,-3.042398023233743309e+00
1.048890109414523550e+02,-3.042417315734604166e+00
1.048871942083593467e+02,-3.042403900269696315e+00
1.048877577550811822e+02,-3.042479233479598033e+00
1.048883267978419127e+02,-3.042476534906967345e+00
1.048903463933152551e+02,-3.042495667988474040e+00
1.048869069006061920e+02,-3.042479356730260154e+00
1.048902181360022894e+02,-3.042494201056448855e+00
1.048886870238553257e+02,-3.042511113413230994e+00
1.048898049331430116e+02,-3.042509941924571581e+00
1.048876795305311447e+02,-3.042517006220454068e+00
1.048908991285588428e+02,-3.042499013758687365e+00
1.048901400764475369e+02,-3.042534873638753190e+00
1.048906949154255983e+02,-3.042537125709543488e+00
1.048895860499181225e+02,-3.042545070157702813e+00
1.048886038825619664e+02,-3.042557694896682818e+00
1.048907711293794165e+02,-3.042577432749665967e+00
1.048869104819249571e+02,-3.042568089010614152e+00
1.048876125711819043e+02,-3.042568471847736156e+00
1.048866240196352351e+02,-3.042562765394420055e+00
1.048887639448705897e+02,-3.042595033696149809e+00
1.048884663654370257e+02,-3.042636641629171024e+00
1.048875431226833825e+02,-3.042611742428690036e+00
1.048904208004888119e+02,-3.042616276887619708e+00
1.048866135473636092e+02,-3.042643851197497362e+00
1.048874127253141495e+02,-3.042637178488834859e+00
1.048886833785578858e+02,-3.042677614039339229e+00
1.048866247335891586e+02,-3.042732353159569136e+00
1.048907635777492686e+02,-3.042740102623025411e+00
1.048874022147289509e+02,-3.042762807253014845e+00
1.048885334418588968e+02,-3.042765703439750613e+00
1.048906989583536813e+02,-3.042780213666585354e+00
1.048908392603521094e+02,-3.042781692092394685e+00
1.048866138516566480e+02,-3.042807663875984225e+00
1.048887981332223092e+02,-3.042832172100697452e+00
1.048886776363116269e+02,-3.042842215963068142e+00
1.048890818897386765e+02,-3.042838124280929701e+00
1.048873995071225238e+02,-3.042848968251464115e+00
1.048897243927810479e+02,-3.042869347699228122e+00
1.048866197473876696e+02,-3.042895228072662217e+00
1.048884103720298526e+02,-3.042869197524934233e+00
1.048880471908582166e+02,-3.042879055175843561e+00
1.048893725195114257e+02,-3.042913550214708884e+00
1.048890869906578303e+02,-3.042923692319587037e+00
1.048906304694317555e+02,-3.042911208273542556e+00
1.048909734210876650e+02,-3.042938751346421000e+00
1.048891541628550073e+02,-3.042967782761626605e+00
1.048901435926639749e+02,-3.042954645525935753e+00
1.048881872102191579e+02,-3.042967982480657252e+00
1.048878966549236651e+02,-3.042971652999848509e+00
1.048866045159525271e+02,-3.042991574465097937e+00
1.048885012317111176e+02,-3.043097733603284727e+00
1.048879522372076138e+02,-3.043103728101292926e+00
1.048866036919157523e+02,-3.043114389008819032e+00
1.048891534330215762e+02,-3.043125830359432626e+00
1.048873382199852102e+02,-3.043129201923820748e+00
1.048876096464825309e+02,-3.043136154471346888e+00
1.048889516041987520e+02,-3.043159126188022423e+00
1.048909038388696899e+02,-3.043156556701126725e+00
1.048873969072092365e+02,-3.043174827494841583e+00
1.048881091732947937e+02,-3.043173788493904741e+00
1.048895000229692442e+02,-3.043222651327627482e+00
1.048884738347880301e+02,-3.043204867430461036e+00
1.048876138819204584e+02,-3.043214465060443796e+00
1.048900671858670250e+02,-3.043233520385494995e+00
1.048873266612431365e+02,-3.043219977236278684e+00
1.048908441239216529e+02,-3.043273643344357016e+00
1.048873353405761009e+02,-3.043294834076675670e+00
1.048876115716757766e+02,-3.043293510526058121e+00
1.048874704731548064e+02,-3.043294946155033376e+00
1.048881787838749204e+02,-3.043296083864579948e+00
1.048889517343652784e+02,-3.043331956098060953e+00
1.048872671995214034e+02,-3.043343882323471306e+00
1.048895886476854145e+02,-3.043362502108438949e+00
1.048909835620857507e+02,-3.043361707941781180e+00
1.048867603388678873e+02,-3.043382182190832452e+00
1.048878990088727647e+02,-3.043378368399843215e+00
1.048879994752916929e+02,-3.043397151677230905e+00
1.048909065557228502e+02,-3.043397373421741658e+00
1.048887753382748258e+02,-3.043439512300151861e+00
1.048868388168838095e+02,-3.043421627939555840e+00
1.048866912208733027e+02,-3.043418187730099866e+00
1.048872636776008562e+02,-3.043427823198514570e+00
1.048866017403147310e+02,-3.043501593078366874e+00
1.048890811839515322e+02,-3.043501982582955012e+00
1.048889448231810633e+02,-3.043502299962822288e+00
1.048868504081622888e+02,-3.043503373756645924e+00
1.048876862365217164e+02,-3.043507849067232929e+00
1.048883222538812277e+02,-3.039944472535942577e+00
1.048885368297654281e+02,-3.039979789055145432e+00
1.048890952179422129e+02,-3.039998566018888404e+00
1.048882541891799178e+02,-3.040058642263408384e+00
1.048893793780544001e+02,-3.040078172249758737e+00
1.048884651079929995e+02,-3.040098214194482562e+00
1.048895874122225109e+02,-3.040112562087433634e+00
1.048893803669716220e+02,-3.040154412098829084e+00
1.048883241475013222e+02,-3.040184834933394864e+00
1.048897782951466695e+02,-3.040238303723449054e+00
1.048893066097102462e+02,-3.040275154328152318e+00
1.048895892185203991e+02,-3.040284614424298315e+00
1.048904687881198754e+02,-3.040287518218517615e+00
1.048911011526960522e+02,-3.040330308995080166e+00
1.048890237244969228e+02,-3.040359131158685280e+00
1.048876899497169717e+02,-3.040389989824260564e+00
1.048878249303027275e+02,-3.040393685759787079e+00
1.048886004704265815e+02,-3.040428253608501663e+00
1.048878949300623020e+02,-3.040431552837030260e+00
1.048877566438503948e+02,-3.040432881250879404e+00
1.048876199846773005e+02,-3.040435296861133452e+00
1.048883959650891740e+02,-3.040467871353219831e+00
1.048906642802470088e+02,-3.040475709730647402e+00
1.048877588397229914e+02,-3.040511058864773908e+00
1.048881822059306757e+02,-3.040515992910340692e+00
1.048897189871872939e+02,-3.040515768874447300e+00
1.048903494077573129e+02,-3.040546094852553782e+00
1.048888819187902186e+02,-3.040598582000290762e+00
1.048879680810497632e+02,-3.040633112536347493e+00
1.048874029994383363e+02,-3.040639980153656108e+00
1.048875459088923208e+02,-3.040644966734254329e+00
1.048891639298350356e+02,-3.040682879413187933e+00
1.048876133458241355e+02,-3.040679688594378760e+00
1.048886171016017386e+02,-3.040680322797490565e+00
1.048871234883702641e+02,-3.040717615794746198e+00
1.048885364000584843e+02,-3.040721630395261776e+00
1.048900997863599116e+02,-3.040733514188474818e+00
1.048905514773642835e+02,-3.040736404149692262e+00
1.048886107818461824e+02,-3.040756397874667449e+00
1.048871936756339664e+02,-3.040763782753435507e+00
1.048904719579816316e+02,-3.040779412912835156e+00
1.048910317513108197e+02,-3.040771928064825769e+00
1.048885391395276798e+02,-3.040791534908383387e+00
1.048871228195308731e+02,-3.040797316317574772e+00
1.048907970067458990e+02,-3.040795456953636400e+00
1.048886071735780234e+02,-3.040835789787620591e+00
1.048908564316037655e+02,-3.040831429436066546e+00
1.048883303024051372e+02,-3.040836934112592260e+00
1.048883975115241896e+02,-3.040882221386351780e+00
1.048876894275871479e+02,-3.040884848550481578e+00
1.048884662027675461e+02,-3.040920225637186114e+00
1.048877549589127369e+02,-3.040920458464468901e+00
1.048899199882516484e+02,-3.040944241128329395e+00
1.048872646413721554e+02,-3.040971746094673467e+00
1.048880366083088376e+02,-3.041000903957451484e+00
1.048897206390539907e+02,-3.040999377458791120e+00
1.048897793876272999e+02,-3.041035679307454220e+00
1.048876848770885033e+02,-3.041046610040837983e+00
1.048889570133292040e+02,-3.041044156884289418e+00
1.048874029498688429e+02,-3.041049405900476899e+00
1.048869825845018227e+02,-3.041048486411857432e+00
1.048906521215275802e+02,-3.041134581137004300e+00
1.048899656154170401e+02,-3.041149680805953270e+00
1.048909719082914762e+02,-3.041149287447577176e+00
1.048888833285405013e+02,-3.041171162022838548e+00
1.048874656724253356e+02,-3.041169719783579861e+00
1.048878931295349020e+02,-3.041178770570755141e+00
1.048876851539632042e+02,-3.041213485694820307e+00
1.048878168891850748e+02,-3.041215870914206754e+00
1.048893783984553778e+02,-3.041207519786901958e+00
1.048899746655363714e+02,-3.041234175369148307e+00
1.048897292442496791e+02,-3.041238823562962601e+00
